Province, assault,small_robberies,robberies_with_force,robberies_force_vehicles,robberies_force_homes,robberies_force_stores,robberies_violence_intimidation,robberies_violence_publicways,robberies_violence_homes,robberies_violence_stores
    Albacete,23723.0,55743.0,27171.0,6915.0,9750.0,3235.0,3358.0,2080.0,309.0,481.0
    Alicante/Alacant,153916.0,407104.0,236011.0,61974.0,111449.0,24240.0,29362.0,17958.0,2834.0,4016.0
    Almería,60839.0,101014.0,84272.0,22428.0,32321.0,7781.0,10558.0,6680.0,945.0,1347.0
    Araba/Álava,18550.0,61397.0,22575.0,96.0,7231.0,3566.0,3174.0,2200.0,267.0,463.0
    Asturias,60640.0,107720.0,39738.0,7577.0,12637.0,10411.0,7190.0,4280.0,704.0,1386.0
    Badajoz,39186.0,72294.0,41735.0,8946.0,12427.0,7871.0,3304.0,1848.0,371.0,742.0
    Balears (Illes),116260.0,373303.0,124702.0,41556.0,40988.0,16365.0,17794.0,11348.0,1125.0,2303.0
    Barcelona,260434.0,1925877.0,688934.0,294657.0,200863.0,18839.0,301514.0,59057.0,10232.0,7023.0
    Bizkaia,70933.0,238266.0,109236.0,245.0,37870.0,17522.0,22330.0,15383.0,2055.0,2577.0
    Burgos,20252.0,50113.0,23206.0,4923.0,7408.0,4159.0,2402.0,1474.0,213.0,433.0
    Cantabria,36808.0,69462.0,35810.0,7199.0,13281.0,7671.0,3764.0,2071.0,382.0,767.0
    Castellón/Castelló,38521.0,98002.0,75024.0,17723.0,32314.0,8561.0,6714.0,3501.0,655.0,1119.0
    Ceuta,10251.0,12129.0,5705.0,3695.0,890.0,518.0,2247.0,1748.0,108.0,127.0
    Ciudad Real,29517.0,44962.0,33589.0,5917.0,9922.0,5303.0,2696.0,1585.0,297.0,557.0
    Coruña (A),58795.0,130527.0,64724.0,20422.0,20081.0,12072.0,6904.0,3655.0,729.0,1469.0
    Cuenca,11468.0,18403.0,16308.0,2954.0,5168.0,2653.0,1058.0,564.0,150.0,161.0
    Cáceres,18229.0,30178.0,16822.0,2758.0,4581.0,3461.0,1092.0,621.0,126.0,189.0
    Cádiz,111884.0,212533.0,94340.0,33945.0,29344.0,14413.0,12950.0,8542.0,1016.0,2004.0
    Córdoba,51561.0,103236.0,56225.0,17870.0,15888.0,7360.0,8092.0,5791.0,560.0,951.0
    Gipuzkoa,34922.0,81498.0,64687.0,149.0,20419.0,13746.0,4814.0,3059.0,373.0,942.0
    Girona,46766.0,176101.0,123614.0,41694.0,42677.0,3269.0,13237.0,2277.0,577.0,487.0
    Granada,62220.0,137018.0,70693.0,21082.0,24871.0,9105.0,13421.0,9222.0,938.0,2005.0
    Guadalajara,15935.0,27167.0,26922.0,6759.0,9780.0,3644.0,2287.0,1504.0,140.0,285.0
    Huelva,44276.0,73418.0,52563.0,15131.0,18591.0,6283.0,4974.0,3012.0,508.0,693.0
    Huesca,10243.0,18747.0,11934.0,1609.0,3147.0,1753.0,767.0,322.0,56.0,183.0
    Jaén,36631.0,58489.0,35433.0,8320.0,10367.0,5285.0,4674.0,3027.0,360.0,640.0
    León,28236.0,61802.0,28890.0,5577.0,8837.0,6402.0,3113.0,1893.0,304.0,585.0
    Lleida,24308.0,68438.0,51571.0,16464.0,11509.0,1189.0,6268.0,975.0,324.0,305.0
    Lugo,16050.0,24347.0,13780.0,2898.0,4245.0,3109.0,1453.0,855.0,152.0,274.0
    Madrid,448852.0,1979428.0,712836.0,359244.0,173864.0,87672.0,235515.0,166601.0,16696.0,23023.0
    Melilla,12962.0,14848.0,7990.0,5041.0,1240.0,664.0,3751.0,2960.0,68.0,150.0
    Murcia,106773.0,213877.0,158407.0,41187.0,68483.0,17858.0,22279.0,14070.0,1811.0,3260.0
    Málaga,143265.0,401639.0,162428.0,63086.0,57621.0,19496.0,26076.0,17478.0,2024.0,3829.0
    Navarra,39967.0,102520.0,43102.0,9526.0,13542.0,6610.0,4575.0,3021.0,295.0,696.0
    Ourense,14975.0,27319.0,15479.0,3463.0,5200.0,3192.0,1618.0,883.0,190.0,374.0
    Palencia,9425.0,14368.0,6470.0,855.0,1877.0,1346.0,641.0,340.0,59.0,142.0
    Palmas (Las),124232.0,192522.0,76054.0,24682.0,20022.0,11580.0,12782.0,7826.0,1048.0,1918.0
    Pontevedra,60464.0,102534.0,54874.0,14934.0,17023.0,11480.0,5582.0,2920.0,566.0,1462.0
    Rioja (La),18181.0,36328.0,19779.0,3837.0,7362.0,2594.0,2061.0,1237.0,166.0,417.0
    Salamanca,17035.0,47123.0,15319.0,4334.0,4436.0,2854.0,1906.0,1155.0,216.0,352.0
    Santa Cruz de Tenerife,92481.0,192400.0,85462.0,32560.0,24363.0,11412.0,10133.0,6312.0,779.0,1758.0
    Segovia,8398.0,15215.0,10062.0,1573.0,3710.0,1422.0,521.0,316.0,60.0,77.0
    Sevilla,141347.0,381321.0,218116.0,98992.0,48411.0,30117.0,36697.0,26550.0,1994.0,4877.0
    Soria,4871.0,8243.0,4824.0,499.0,1335.0,976.0,295.0,185.0,30.0,29.0
    Tarragona,45799.0,147120.0,132701.0,39480.0,50673.0,2932.0,16339.0,2475.0,961.0,642.0
    Teruel,5489.0,8170.0,6645.0,482.0,2253.0,1036.0,300.0,156.0,34.0,50.0
    Toledo,45243.0,71026.0,92078.0,15188.0,37922.0,12276.0,5514.0,3229.0,523.0,895.0
    Valencia/València,190574.0,546930.0,298138.0,100914.0,111072.0,33918.0,58907.0,38525.0,4140.0,7613.0
    Valladolid,31401.0,79387.0,31922.0,6909.0,8710.0,6089.0,2392.0,1361.0,258.0,469.0
    Zamora,8874.0,16136.0,9162.0,1305.0,2582.0,2025.0,620.0,327.0,89.0,126.0
    Zaragoza,58561.0,143948.0,66574.0,17799.0,19524.0,9669.0,14214.0,9700.0,894.0,2323.0
    Ávila,10326.0,13148.0,11541.0,1100.0,5050.0,1645.0,570.0,326.0,65.0,78.0
