Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Araba/Álava,2023.0,1386.0,82.0,114.0
    Albacete,2023.0,1638.0,120.0,211.0
    Alicante/Alacant,2023.0,11416.0,1161.0,1997.0
    Almería,2023.0,4343.0,397.0,657.0
    Ávila,2023.0,722.0,10.0,26.0
    Badajoz,2023.0,2516.0,107.0,231.0
    Balears (Illes),2023.0,10159.0,994.0,1519.0
    Barcelona,2023.0,16470.0,17358.0,22792.0
    Burgos,2023.0,1393.0,113.0,183.0
    Cáceres,2023.0,1271.0,40.0,81.0
    Cádiz,2023.0,7356.0,559.0,876.0
    Castellón/Castelló,2023.0,3231.0,233.0,456.0
    Ciudad Real,2023.0,1903.0,107.0,191.0
    Córdoba,2023.0,3511.0,260.0,414.0
    Coruña (A),2023.0,4021.0,310.0,552.0
    Cuenca,2023.0,886.0,17.0,49.0
    Girona,2023.0,2915.0,636.0,1054.0
    Granada,2023.0,4046.0,381.0,632.0
    Guadalajara,2023.0,1190.0,86.0,131.0
    Gipuzkoa,2023.0,2918.0,322.0,489.0
    Huelva,2023.0,2954.0,181.0,337.0
    Huesca,2023.0,899.0,38.0,84.0
    Jaén,2023.0,2152.0,109.0,207.0
    León,2023.0,1632.0,113.0,187.0
    Lleida,2023.0,1480.0,226.0,395.0
    Rioja (La),2023.0,1490.0,88.0,150.0
    Lugo,2023.0,1140.0,39.0,67.0
    Madrid,2023.0,34880.0,8252.0,12015.0
    Málaga,2023.0,10996.0,1208.0,1914.0
    Murcia,2023.0,8520.0,1307.0,2071.0
    Navarra,2023.0,3028.0,346.0,467.0
    Ourense,2023.0,1123.0,53.0,101.0
    Asturias,2023.0,4185.0,216.0,424.0
    Palencia,2023.0,671.0,26.0,43.0
    Palmas (Las),2023.0,8449.0,585.0,996.0
    Pontevedra,2023.0,3697.0,150.0,329.0
    Salamanca,2023.0,1073.0,71.0,124.0
    Santa Cruz de Tenerife,2023.0,6761.0,521.0,862.0
    Cantabria,2023.0,2738.0,129.0,255.0
    Segovia,2023.0,596.0,17.0,31.0
    Sevilla,2023.0,10278.0,1933.0,2639.0
    Soria,2023.0,369.0,12.0,21.0
    Tarragona,2023.0,3076.0,730.0,1180.0
    Teruel,2023.0,432.0,6.0,13.0
    Toledo,2023.0,3112.0,182.0,344.0
    Valencia/València,2023.0,14280.0,2418.0,3717.0
    Valladolid,2023.0,1958.0,86.0,182.0
    Bizkaia,2023.0,4411.0,1115.0,1504.0
    Zamora,2023.0,596.0,10.0,20.0
    Zaragoza,2023.0,4740.0,658.0,979.0
    Ceuta,2023.0,644.0,62.0,84.0
    Melilla,2023.0,923.0,86.0,119.0
    Araba/Álava,2022.0,1269.0,74.0,114.0
    Albacete,2022.0,1638.0,123.0,204.0
    Alicante/Alacant,2022.0,10426.0,861.0,1582.0
    Almería,2022.0,4067.0,423.0,677.0
    Ávila,2022.0,632.0,10.0,25.0
    Badajoz,2022.0,2180.0,98.0,205.0
    Balears (Illes),2022.0,9288.0,811.0,1272.0
    Barcelona,2022.0,16001.0,16509.0,22457.0
    Burgos,2022.0,1347.0,94.0,162.0
    Cáceres,2022.0,1124.0,56.0,91.0
    Cádiz,2022.0,6745.0,527.0,824.0
    Castellón/Castelló,2022.0,2879.0,190.0,409.0
    Ciudad Real,2022.0,1892.0,128.0,200.0
    Córdoba,2022.0,3119.0,227.0,364.0
    Coruña (A),2022.0,3833.0,241.0,458.0
    Cuenca,2022.0,785.0,26.0,47.0
    Girona,2022.0,2941.0,589.0,1012.0
    Granada,2022.0,3739.0,439.0,682.0
    Guadalajara,2022.0,1115.0,105.0,161.0
    Gipuzkoa,2022.0,2723.0,268.0,399.0
    Huelva,2022.0,2932.0,195.0,359.0
    Huesca,2022.0,802.0,21.0,80.0
    Jaén,2022.0,2214.0,130.0,232.0
    León,2022.0,1489.0,102.0,183.0
    Lleida,2022.0,1477.0,307.0,479.0
    Rioja (La),2022.0,1391.0,69.0,121.0
    Lugo,2022.0,948.0,59.0,86.0
    Madrid,2022.0,33243.0,8560.0,12626.0
    Málaga,2022.0,9908.0,1139.0,1742.0
    Murcia,2022.0,7590.0,1293.0,1999.0
    Navarra,2022.0,3098.0,303.0,422.0
    Ourense,2022.0,948.0,71.0,114.0
    Asturias,2022.0,3895.0,212.0,392.0
    Palencia,2022.0,574.0,26.0,44.0
    Palmas (Las),2022.0,7697.0,510.0,881.0
    Pontevedra,2022.0,3488.0,158.0,305.0
    Salamanca,2022.0,1042.0,43.0,95.0
    Santa Cruz de Tenerife,2022.0,5904.0,438.0,734.0
    Cantabria,2022.0,2463.0,109.0,242.0
    Segovia,2022.0,607.0,13.0,25.0
    Sevilla,2022.0,9870.0,1763.0,2455.0
    Soria,2022.0,406.0,5.0,7.0
    Tarragona,2022.0,2761.0,685.0,1101.0
    Teruel,2022.0,444.0,11.0,18.0
    Toledo,2022.0,2958.0,152.0,287.0
    Valencia/València,2022.0,14011.0,2481.0,3672.0
    Valladolid,2022.0,1805.0,68.0,143.0
    Bizkaia,2022.0,4338.0,1272.0,1688.0
    Zamora,2022.0,571.0,13.0,26.0
    Zaragoza,2022.0,4351.0,811.0,1097.0
    Ceuta,2022.0,738.0,75.0,107.0
    Melilla,2022.0,926.0,96.0,121.0
    Araba/Álava,2021.0,1027.0,81.0,120.0
    Albacete,2021.0,1316.0,92.0,176.0
    Alicante/Alacant,2021.0,8891.0,625.0,1212.0
    Almería,2021.0,3640.0,346.0,534.0
    Ávila,2021.0,545.0,10.0,23.0
    Badajoz,2021.0,2103.0,62.0,132.0
    Balears (Illes),2021.0,7431.0,571.0,896.0
    Barcelona,2021.0,13607.0,13491.0,18360.0
    Burgos,2021.0,1198.0,85.0,142.0
    Cáceres,2021.0,983.0,59.0,92.0
    Cádiz,2021.0,5909.0,470.0,728.0
    Castellón/Castelló,2021.0,2409.0,131.0,303.0
    Ciudad Real,2021.0,1585.0,90.0,144.0
    Córdoba,2021.0,2642.0,177.0,273.0
    Coruña (A),2021.0,3149.0,262.0,463.0
    Cuenca,2021.0,740.0,32.0,79.0
    Girona,2021.0,2414.0,537.0,877.0
    Granada,2021.0,3472.0,375.0,611.0
    Guadalajara,2021.0,1003.0,131.0,178.0
    Gipuzkoa,2021.0,2044.0,201.0,297.0
    Huelva,2021.0,2556.0,186.0,266.0
    Huesca,2021.0,629.0,15.0,32.0
    Jaén,2021.0,1911.0,96.0,174.0
    León,2021.0,1282.0,69.0,123.0
    Lleida,2021.0,1281.0,248.0,377.0
    Rioja (La),2021.0,1166.0,68.0,116.0
    Lugo,2021.0,778.0,47.0,79.0
    Madrid,2021.0,29383.0,8283.0,12153.0
    Málaga,2021.0,8739.0,893.0,1388.0
    Murcia,2021.0,6658.0,809.0,1375.0
    Navarra,2021.0,2470.0,200.0,298.0
    Ourense,2021.0,845.0,50.0,98.0
    Asturias,2021.0,3208.0,155.0,295.0
    Palencia,2021.0,490.0,19.0,44.0
    Palmas (Las),2021.0,7055.0,471.0,796.0
    Pontevedra,2021.0,3069.0,115.0,213.0
    Salamanca,2021.0,789.0,41.0,83.0
    Santa Cruz de Tenerife,2021.0,5410.0,274.0,520.0
    Cantabria,2021.0,2069.0,99.0,194.0
    Segovia,2021.0,451.0,18.0,29.0
    Sevilla,2021.0,8427.0,1328.0,1937.0
    Soria,2021.0,299.0,14.0,21.0
    Tarragona,2021.0,2552.0,497.0,887.0
    Teruel,2021.0,311.0,10.0,16.0
    Toledo,2021.0,2702.0,163.0,305.0
    Valencia/València,2021.0,11940.0,1976.0,3063.0
    Valladolid,2021.0,1711.0,61.0,136.0
    Bizkaia,2021.0,3386.0,714.0,1009.0
    Zamora,2021.0,487.0,13.0,24.0
    Zaragoza,2021.0,3590.0,619.0,912.0
    Ceuta,2021.0,835.0,148.0,195.0
    Melilla,2021.0,900.0,145.0,201.0
    Araba/Álava,2020.0,904.0,64.0,103.0
    Albacete,2020.0,1217.0,80.0,145.0
    Alicante/Alacant,2020.0,7878.0,650.0,1187.0
    Almería,2020.0,3421.0,232.0,386.0
    Ávila,2020.0,413.0,6.0,13.0
    Badajoz,2020.0,1884.0,77.0,155.0
    Balears (Illes),2020.0,6407.0,465.0,749.0
    Barcelona,2020.0,11104.0,11124.0,15249.0
    Burgos,2020.0,975.0,62.0,106.0
    Cáceres,2020.0,856.0,25.0,56.0
    Cádiz,2020.0,5350.0,369.0,602.0
    Castellón/Castelló,2020.0,2017.0,108.0,230.0
    Ciudad Real,2020.0,1282.0,70.0,157.0
    Córdoba,2020.0,2527.0,187.0,286.0
    Coruña (A),2020.0,2803.0,155.0,349.0
    Cuenca,2020.0,573.0,28.0,66.0
    Girona,2020.0,2058.0,497.0,754.0
    Granada,2020.0,3041.0,316.0,566.0
    Guadalajara,2020.0,891.0,72.0,118.0
    Gipuzkoa,2020.0,1762.0,150.0,228.0
    Huelva,2020.0,2296.0,141.0,249.0
    Huesca,2020.0,525.0,16.0,32.0
    Jaén,2020.0,1643.0,89.0,177.0
    León,2020.0,1169.0,96.0,165.0
    Lleida,2020.0,1008.0,181.0,285.0
    Rioja (La),2020.0,942.0,44.0,78.0
    Lugo,2020.0,793.0,30.0,60.0
    Madrid,2020.0,25967.0,7362.0,10688.0
    Málaga,2020.0,7695.0,711.0,1119.0
    Murcia,2020.0,5597.0,742.0,1207.0
    Navarra,2020.0,2109.0,151.0,226.0
    Ourense,2020.0,736.0,49.0,100.0
    Asturias,2020.0,3038.0,164.0,317.0
    Palencia,2020.0,397.0,13.0,31.0
    Palmas (Las),2020.0,6737.0,385.0,685.0
    Pontevedra,2020.0,2936.0,109.0,258.0
    Salamanca,2020.0,771.0,53.0,87.0
    Santa Cruz de Tenerife,2020.0,4906.0,237.0,495.0
    Cantabria,2020.0,1748.0,82.0,178.0
    Segovia,2020.0,464.0,9.0,16.0
    Sevilla,2020.0,7605.0,1208.0,1802.0
    Soria,2020.0,255.0,8.0,12.0
    Tarragona,2020.0,1935.0,495.0,794.0
    Teruel,2020.0,270.0,3.0,9.0
    Toledo,2020.0,2413.0,148.0,268.0
    Valencia/València,2020.0,10336.0,1431.0,2355.0
    Valladolid,2020.0,1352.0,55.0,94.0
    Bizkaia,2020.0,3064.0,511.0,722.0
    Zamora,2020.0,435.0,5.0,18.0
    Zaragoza,2020.0,3288.0,522.0,728.0
    Ceuta,2020.0,633.0,97.0,128.0
    Melilla,2020.0,870.0,220.0,300.0
    Araba/Álava,2019.0,927.0,97.0,141.0
    Albacete,2019.0,1458.0,168.0,252.0
    Alicante/Alacant,2019.0,9276.0,945.0,1655.0
    Almería,2019.0,3861.0,329.0,537.0
    Ávila,2019.0,556.0,12.0,23.0
    Badajoz,2019.0,2130.0,136.0,252.0
    Balears (Illes),2019.0,8110.0,843.0,1314.0
    Barcelona,2019.0,14672.0,78.0,23836.0
    Burgos,2019.0,1160.0,75.0,146.0
    Cáceres,2019.0,1055.0,41.0,68.0
    Cádiz,2019.0,6057.0,525.0,831.0
    Castellón/Castelló,2019.0,2428.0,197.0,355.0
    Ciudad Real,2019.0,1551.0,67.0,123.0
    Córdoba,2019.0,2746.0,351.0,487.0
    Coruña (A),2019.0,3175.0,207.0,440.0
    Cuenca,2019.0,687.0,49.0,95.0
    Girona,2019.0,2666.0,0.0,1109.0
    Granada,2019.0,3469.0,511.0,844.0
    Guadalajara,2019.0,1074.0,106.0,161.0
    Gipuzkoa,2019.0,2049.0,177.0,296.0
    Huelva,2019.0,2602.0,146.0,287.0
    Huesca,2019.0,619.0,17.0,40.0
    Jaén,2019.0,1884.0,164.0,280.0
    León,2019.0,1406.0,102.0,183.0
    Lleida,2019.0,1328.0,2.0,455.0
    Rioja (La),2019.0,1042.0,41.0,91.0
    Lugo,2019.0,928.0,46.0,86.0
    Madrid,2019.0,29288.0,10896.0,15372.0
    Málaga,2019.0,8608.0,1028.0,1599.0
    Murcia,2019.0,6237.0,917.0,1536.0
    Navarra,2019.0,2693.0,232.0,331.0
    Ourense,2019.0,791.0,42.0,87.0
    Asturias,2019.0,3368.0,196.0,362.0
    Palencia,2019.0,490.0,15.0,37.0
    Palmas (Las),2019.0,7159.0,481.0,825.0
    Pontevedra,2019.0,3133.0,155.0,332.0
    Salamanca,2019.0,893.0,58.0,97.0
    Santa Cruz de Tenerife,2019.0,5237.0,424.0,710.0
    Cantabria,2019.0,2053.0,110.0,223.0
    Segovia,2019.0,436.0,13.0,24.0
    Sevilla,2019.0,7903.0,1660.0,2437.0
    Soria,2019.0,267.0,11.0,12.0
    Tarragona,2019.0,2443.0,2.0,1048.0
    Teruel,2019.0,339.0,12.0,19.0
    Toledo,2019.0,2565.0,196.0,347.0
    Valencia/València,2019.0,11628.0,1878.0,2940.0
    Valladolid,2019.0,1638.0,88.0,144.0
    Bizkaia,2019.0,3908.0,802.0,1206.0
    Zamora,2019.0,499.0,17.0,40.0
    Zaragoza,2019.0,3802.0,701.0,974.0
    Ceuta,2019.0,710.0,112.0,147.0
    Melilla,2019.0,931.0,243.0,375.0
    Araba/Álava,2018.0,876.0,118.0,180.0
    Albacete,2018.0,1316.0,145.0,240.0
    Alicante/Alacant,2018.0,8763.0,1039.0,1687.0
    Almería,2018.0,3470.0,335.0,550.0
    Ávila,2018.0,506.0,12.0,39.0
    Badajoz,2018.0,2108.0,98.0,179.0
    Balears (Illes),2018.0,7545.0,771.0,1230.0
    Barcelona,2018.0,14439.0,68.0,20151.0
    Burgos,2018.0,1134.0,89.0,147.0
    Cáceres,2018.0,989.0,40.0,73.0
    Cádiz,2018.0,5880.0,472.0,795.0
    Castellón/Castelló,2018.0,2206.0,173.0,353.0
    Ciudad Real,2018.0,1428.0,66.0,128.0
    Córdoba,2018.0,2676.0,363.0,541.0
    Coruña (A),2018.0,3211.0,194.0,381.0
    Cuenca,2018.0,638.0,39.0,76.0
    Girona,2018.0,2487.0,0.0,956.0
    Granada,2018.0,3131.0,515.0,852.0
    Guadalajara,2018.0,957.0,99.0,161.0
    Gipuzkoa,2018.0,1918.0,218.0,349.0
    Huelva,2018.0,2402.0,140.0,264.0
    Huesca,2018.0,635.0,16.0,37.0
    Jaén,2018.0,1818.0,116.0,201.0
    León,2018.0,1381.0,106.0,164.0
    Lleida,2018.0,1380.0,1.0,409.0
    Rioja (La),2018.0,1057.0,46.0,77.0
    Lugo,2018.0,923.0,54.0,102.0
    Madrid,2018.0,27360.0,9938.0,14268.0
    Málaga,2018.0,8225.0,958.0,1477.0
    Murcia,2018.0,6010.0,968.0,1444.0
    Navarra,2018.0,2589.0,173.0,255.0
    Ourense,2018.0,830.0,48.0,93.0
    Asturias,2018.0,3159.0,207.0,355.0
    Palencia,2018.0,476.0,8.0,23.0
    Palmas (Las),2018.0,6740.0,469.0,796.0
    Pontevedra,2018.0,3075.0,201.0,375.0
    Salamanca,2018.0,949.0,72.0,145.0
    Santa Cruz de Tenerife,2018.0,5065.0,401.0,694.0
    Cantabria,2018.0,2110.0,88.0,177.0
    Segovia,2018.0,393.0,8.0,14.0
    Sevilla,2018.0,7441.0,1693.0,2413.0
    Soria,2018.0,266.0,7.0,10.0
    Tarragona,2018.0,2378.0,0.0,990.0
    Teruel,2018.0,335.0,6.0,16.0
    Toledo,2018.0,2489.0,221.0,363.0
    Valencia/València,2018.0,11070.0,1764.0,3025.0
    Valladolid,2018.0,1567.0,71.0,131.0
    Bizkaia,2018.0,3597.0,858.0,1262.0
    Zamora,2018.0,541.0,15.0,35.0
    Zaragoza,2018.0,3504.0,608.0,866.0
    Ceuta,2018.0,707.0,115.0,150.0
    Melilla,2018.0,874.0,260.0,332.0
    Araba/Álava,2017.0,806.0,93.0,144.0
    Albacete,2017.0,1304.0,114.0,195.0
    Alicante/Alacant,2017.0,8425.0,1132.0,1818.0
    Almería,2017.0,3474.0,343.0,588.0
    Ávila,2017.0,491.0,16.0,32.0
    Badajoz,2017.0,2179.0,124.0,224.0
    Balears (Illes),2017.0,7096.0,899.0,1354.0
    Barcelona,2017.0,14480.0,54.0,18374.0
    Burgos,2017.0,1180.0,80.0,126.0
    Cáceres,2017.0,1005.0,28.0,53.0
    Cádiz,2017.0,5824.0,573.0,871.0
    Castellón/Castelló,2017.0,2047.0,190.0,409.0
    Ciudad Real,2017.0,1457.0,87.0,147.0
    Córdoba,2017.0,2602.0,369.0,565.0
    Coruña (A),2017.0,3085.0,217.0,429.0
    Cuenca,2017.0,583.0,40.0,62.0
    Girona,2017.0,2392.0,0.0,818.0
    Granada,2017.0,3300.0,590.0,900.0
    Guadalajara,2017.0,896.0,116.0,182.0
    Gipuzkoa,2017.0,1793.0,229.0,341.0
    Huelva,2017.0,2287.0,193.0,333.0
    Huesca,2017.0,519.0,15.0,35.0
    Jaén,2017.0,1971.0,162.0,262.0
    León,2017.0,1368.0,125.0,193.0
    Lleida,2017.0,1267.0,3.0,390.0
    Rioja (La),2017.0,1006.0,54.0,104.0
    Lugo,2017.0,962.0,57.0,97.0
    Madrid,2017.0,27093.0,11551.0,16314.0
    Málaga,2017.0,8017.0,1035.0,1523.0
    Murcia,2017.0,6033.0,938.0,1458.0
    Navarra,2017.0,2427.0,299.0,432.0
    Ourense,2017.0,795.0,45.0,106.0
    Asturias,2017.0,3160.0,218.0,371.0
    Palencia,2017.0,490.0,17.0,44.0
    Palmas (Las),2017.0,6734.0,466.0,762.0
    Pontevedra,2017.0,3085.0,253.0,425.0
    Salamanca,2017.0,832.0,89.0,138.0
    Santa Cruz de Tenerife,2017.0,5010.0,412.0,674.0
    Cantabria,2017.0,1941.0,127.0,214.0
    Segovia,2017.0,405.0,9.0,21.0
    Sevilla,2017.0,7612.0,1851.0,2626.0
    Soria,2017.0,260.0,7.0,16.0
    Tarragona,2017.0,2443.0,4.0,1033.0
    Teruel,2017.0,291.0,6.0,15.0
    Toledo,2017.0,2343.0,257.0,440.0
    Valencia/València,2017.0,10692.0,2019.0,3166.0
    Valladolid,2017.0,1590.0,70.0,115.0
    Bizkaia,2017.0,3594.0,902.0,1302.0
    Zamora,2017.0,511.0,17.0,41.0
    Zaragoza,2017.0,3336.0,497.0,748.0
    Ceuta,2017.0,700.0,110.0,131.0
    Melilla,2017.0,889.0,277.0,356.0
